case_id,activity,timestamp,resource
1,Payment Initiated,2026-04-17T07:23:01.211Z,payment-worker
1,Payment Processed,2026-04-17T07:23:01.214Z,payment-worker
1,Payment Initiated,2026-04-17T07:23:04.451Z,payment-worker
1,Payment Processed,2026-04-17T07:23:04.452Z,payment-worker
1,Payment Initiated,2026-04-17T07:23:08.394Z,payment-worker
1,Payment Processed,2026-04-17T07:23:08.395Z,payment-worker
1,Payment Initiated,2026-04-17T07:24:28.923Z,payment-worker
1,Payment Processed,2026-04-17T07:24:28.924Z,payment-worker
1,Payment Initiated,2026-04-17T07:27:05.961Z,payment-worker
1,Payment Processed,2026-04-17T07:27:05.963Z,payment-worker
2,Payment Initiated,2026-04-17T07:27:45.772Z,payment-worker
2,Payment Processed,2026-04-17T07:27:45.775Z,payment-worker
2,Payment Initiated,2026-04-17T07:29:00.963Z,payment-worker
2,Payment Processed,2026-04-17T07:29:00.964Z,payment-worker
2,Payment Initiated,2026-04-17T07:29:47.562Z,payment-worker
2,Payment Processed,2026-04-17T07:29:47.563Z,payment-worker
2,Payment Initiated,2026-04-17T07:29:59.510Z,payment-worker
2,Payment Processed,2026-04-17T07:29:59.513Z,payment-worker
2,Payment Initiated,2026-04-17T07:30:03.404Z,payment-worker
2,Payment Processed,2026-04-17T07:30:03.405Z,payment-worker
2,Payment Initiated,2026-04-17T07:31:34.251Z,payment-worker
2,Payment Processed,2026-04-17T07:31:34.252Z,payment-worker
2,Payment Initiated,2026-04-17T07:31:51.474Z,payment-worker
2,Payment Processed,2026-04-17T07:31:51.476Z,payment-worker
2,Payment Initiated,2026-04-17T07:32:22.400Z,payment-worker
2,Payment Processed,2026-04-17T07:32:22.401Z,payment-worker
2,Payment Initiated,2026-04-17T07:35:06.627Z,payment-worker
2,Payment Processed,2026-04-17T07:35:06.630Z,payment-worker
2,Duplicate Payment Attempt,2026-04-17T07:35:19.715Z,payment-worker
2,Duplicate Payment Attempt,2026-04-17T07:35:22.983Z,payment-worker
2,Duplicate Payment Attempt,2026-04-17T07:35:24.586Z,payment-worker
2,Duplicate Payment Attempt,2026-04-17T07:35:26.155Z,payment-worker
2,Payment Initiated,2026-04-17T07:40:29.194Z,payment-worker
2,Payment Failed,2026-04-17T07:40:29.197Z,payment-worker
2,Payment Initiated,2026-04-17T07:40:29.202Z,payment-worker
2,Payment Processed,2026-04-17T07:40:29.204Z,payment-worker
2,Duplicate Payment Attempt,2026-04-17T07:40:31.646Z,payment-worker
2,Payment Initiated,2026-04-17T07:47:05.304Z,payment-worker
2,Payment Processed,2026-04-17T07:47:05.306Z,payment-worker
2,Duplicate Payment Attempt,2026-04-17T07:47:07.234Z,payment-worker
2,Duplicate Payment Attempt,2026-04-17T07:49:26.623Z,payment-worker
2,Payment Initiated,2026-04-26T10:45:38.470Z,payment-worker
2,Payment Processed,2026-04-26T10:45:38.477Z,payment-worker
WF-1001,Payment Initiated,2026-04-26T10:51:32.578Z,payment-worker
WF-1001,Payment Processed,2026-04-26T10:51:32.582Z,payment-worker
2,Payment Initiated,2026-04-26T11:37:06.431Z,payment-worker
2,Payment Processed,2026-04-26T11:37:06.436Z,payment-worker
WF-1001,Payment Initiated,2026-04-26T11:37:11.222Z,payment-worker
WF-1001,Payment Processed,2026-04-26T11:37:11.224Z,payment-worker
INV-1780415165003,Payment Initiated,2026-06-02T15:51:06.255Z,payment-worker
INV-1780415165003,Payment Processed,2026-06-02T15:51:06.279Z,payment-worker
INV-1780477612052,Payment Initiated,2026-06-03T09:12:57.722Z,payment-worker
INV-1780477612052,Payment Processed,2026-06-03T09:12:57.738Z,payment-worker
INV-1780482539516,Payment Initiated,2026-06-03T10:34:04.417Z,payment-worker
INV-1780482539516,Payment Processed,2026-06-03T10:34:04.456Z,payment-worker
INV-1780486801603,Payment Initiated,2026-06-03T11:41:35.407Z,payment-worker
INV-1780486801603,Payment Processed,2026-06-03T11:41:35.421Z,payment-worker
